Fecha,Algoritmo,NumProcesos,MemoriaTotal
2025-10-27T13:03:54.7674376,FIFO,4,2048

Eventos:
Timestamp,Proceso,Tipo,TiempoEjecucion,MemoriaUsada
2025-10-27T13:03:52.7857997,P1,INICIO,0,233
2025-10-27T13:03:53.3061891,P1,FIN,5,233
2025-10-27T13:03:53.3071876,P2,INICIO,5,97
2025-10-27T13:03:53.9282062,P2,FIN,11,97
2025-10-27T13:03:53.929204,P3,INICIO,11,146
2025-10-27T13:03:54.0335061,P3,FIN,12,146
2025-10-27T13:03:54.0345364,P4,INICIO,12,219
2025-10-27T13:03:54.7573093,P4,FIN,19,219

Estadisticas por Proceso:
Proceso,TiempoInicio,TiempoFin,TiempoTotal,MemoriaUsada
P1,0,5,5,233
P2,5,11,6,97
P3,11,12,1,146
P4,12,19,7,219
